# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 9.923783695200255,5.1586260569260585,6.736017770139356,-8.557104364909085,0.9435801314951672,0.9999999999999956,-0.7691019651350399,180.0,-75.02477372231792,0.0
 9.93329588969339,5.1675289871060786,6.73456452519113,-9.270754604359244,0.9530923259883022,0.999999999999965,0.28749390701467964,180.0,15.820210129725632,0.0
 9.942662629746359,5.176386749738969,6.733142162356343,-9.122570808490767,0.962459066041271,1.0000000000000593,0.289689665511724,180.0,16.09571244905729,0.0
 9.951888460151238,5.185199577322341,6.731750435008573,-8.974074495190052,0.9716848964461506,0.999999999999988,0.29187882823359224,180.0,16.370860024205573,0.0
 9.96097769200303,5.193967702353812,6.730389096521403,-8.82527595281681,0.9807741282979421,0.9999999999999023,0.2940605414159915,180.0,16.645612691537938,0.0
 9.96993441962932,5.202691357330998,6.729057900268412,-8.676185733766,0.9897308559242313,0.9999999999999752,0.29623393006707704,180.0,16.919926163197008,0.0
 9.978762535965714,5.211370774751512,6.727756599623182,-8.526814657194096,0.9985589722606258,1.0000000000000504,0.29839809679502827,180.0,17.131501205474535,0.0
 9.987497371487793,5.220006187112971,6.7264849479592925,-8.377173811917984,1.0,0.1649747995519475,0.3005521217043677,180.0,17.267544561440484,3.274019883224618e-12
 9.996178354024286,5.228597826912989,6.7252426986503275,-8.227274559132004,1.0,0.0,0.3026950625828944,180.00000000000003,17.390595986669975,-3.2919317675958113e-12
 10.004812102059459,5.237145926649182,6.724029605069864,-8.077128535201604,1.0,0.0,0.30482595454213496,180.0,17.51295240119559,0.0
 10.01339893982044,5.245650718819164,6.722845420591485,-7.926747654216743,1.0,0.0,0.3069438102270748,180.0,17.63455702380989,0.0
 10.021939190835644,5.254112435920551,6.721689898588771,-7.77614411069149,1.0,0.0,0.309047618743577,180.0,17.75535175908751,0.0
 10.030433177922985,5.2625313104509575,6.720562792435302,-7.625330382118599,1.0,0.0,0.3111363466653355,180.0,17.87527719870285,0.0
 10.038881223178063,5.270907574908,6.71946385550466,-7.474319231396902,1.0,0.0,0.3132089375574342,180.0,17.994272600335993,3.3825604108734454e-12
 10.04728364796227,5.27924146178929,6.718392841170425,-7.323123709326043,1.0,0.0,0.3152643112610312,180.00000000000003,18.112275897697074,-3.4008956038314962e-12
 10.055640772890888,5.287533203592447,6.7173495028061785,-7.171757156907411,1.0,0.0,0.31730136481129484,180.0,18.229223678700293,0.0
 10.063952917821107,5.295783032815083,6.7163335937855,-7.020233207724674,1.0,0.0,0.31931897174522195,180.0,18.345051206557443,0.0
 10.072220401840044,5.303991181954816,6.7153448674819725,-6.86856579004788,1.0,0.0,0.32131598215138085,180.0,18.459692392747975,0.0
 10.080443543252713,5.312157883509258,6.714383077269176,-6.716769129067939,1.0,0.0,0.32329122265812416,180.0,18.57307980947651,-3.474911998791835e-12
 10.088622659569985,5.320283369976027,6.713447976520689,-6.564857748936247,1.0,0.0,0.32524349690580195,179.99999999999997,18.68514469295542,3.493581352906497e-12
 10.096758067496513,5.328367873852736,6.712539318610094,-6.4128464746928655,1.0,0.0,0.3271715846311186,180.0,18.79581692678943,0.0
 10.104850082918661,5.336411627637,6.711656856910974,-6.260750434249406,1.0,0.0,0.32907424239182875,180.0,18.90502505914242,0.0
 10.11289902089242,5.344414863826436,6.7108003447969065,-6.108585060155998,1.0,0.0,0.3309502034576938,180.0,19.01269630188611,0.0
 10.120905195631327,5.3523778149186585,6.709969535641473,-5.956366091305346,1.0,0.0,0.33279817770637193,180.0,19.118756532567076,0.0
 10.128868920494371,5.360300713411281,6.709164182818256,-5.804109574556449,1.0,0.0,0.33461685193751545,180.0,19.22313028949933,0.0
 10.13679050797395,5.36818379180192,6.708384039700835,-5.65183186633683,1.0,0.0,0.33640488963319226,180.0,19.325740800398954,-3.6069249904902537e-12
 10.144670269683811,5.376027282588192,6.707628859662791,-5.4995496339631575,1.0,0.0,0.33816093155917776,179.99999999999997,19.4265099661577,0.0
 10.15250851634703,5.383831418267709,6.706898396077705,-5.347279857042928,1.0,0.0,0.3398835953895621,179.99999999999997,19.525358384899167,3.645191533232031e-12
 10.160305557784028,5.391596431338088,6.706192402319158,-5.195039828643635,1.0,0.0,0.3415714762672711,180.0,19.622205344402175,0.0
 10.168061702900625,5.399322554296944,6.70551063176073,-5.042847156484794,1.0,0.0,0.34322314671253334,180.0,19.71696885635972,0.0
 10.175777259676133,5.407010019641891,6.704852837776003,-4.890719763832617,1.0,0.0,0.3448371570634532,180.0,19.809565642513217,0.0
 10.183452535151526,5.414659059870546,6.704218773738557,-4.738675890478456,1.0,0.0,0.3464120353296041,180.0,19.89991116560802,0.0
 10.191087835417642,5.422269907480523,6.703608193021973,-4.586734093459995,1.0,0.0,0.3479462879012856,180.0,19.987919634295213,0.0
 10.198683465603487,5.429842794969438,6.703020848999832,-4.434913247733497,1.0,0.0,0.349438399355276,180.0,20.073504019956587,0.0
 10.206239729864592,5.437377954834903,6.702456495045714,-4.283232546712358,1.0,0.0,0.35088683317709213,180.0,20.156576077159137,0.0
 10.213756931371483,5.444875619574537,6.701914884533201,-4.13171150265137,1.0,0.0,0.3522900317450017,180.0,20.2370463571853,0.0
 10.221235372298226,5.452336021685954,6.701395770835872,-3.980369946937401,1.0,0.0,0.35364641669608415,180.0,20.314824228331737,0.0
 10.228675353811084,5.4597593936667685,6.700898907327311,-3.829228030241647,1.0,0.0,0.35495438941729607,180.0,20.389817893656804,0.0
 10.236077176057295,5.467145968014596,6.700424047381096,-3.6783062225601983,1.0,0.0,0.35621233133341135,180.0,20.46193441872206,0.0
 10.24344113815396,5.474495977227051,6.699970944370809,-3.527625313076279,1.0,0.0,0.35741860446289647,180.0,20.53107975546187,0.0
 10.25076753817707,5.481809653801749,6.699539351670031,-3.3772064098813783,1.0,0.0,0.35857155146985414,180.0,20.597158750562233,0.0
 10.258056673150685,5.489087230236306,6.6991290226523414,-3.227070939675563,1.0,0.0,0.35966949642339424,180.0,20.66007519461329,3.919064990919132e-12
 10.265308839036237,5.496328939028336,6.698739710691322,-3.077240647156254,1.0,0.0,0.3607107453585038,180.00000000000003,20.719731837007892,-7.877968867016333e-12
 10.27252433072202,5.503535012675455,6.698371169160555,-2.927737594354685,1.0,0.0,0.3616935862083109,179.99999999999997,20.776030400705974,3.9589453734695426e-12
 10.279703442012837,5.510705683675276,6.698023151433619,-2.7785841599266137,1.0,0.0,0.3626162901875848,180.0,20.828871649442267,0.0
 10.286846465619837,5.517841184525417,6.697695410884095,-2.629803038027474,1.0,0.0,0.36347711158980295,180.0,20.87815537676493,0.0
 10.293953693150529,5.52494174772349,6.697387700885565,-2.481417237343655,1.0,0.0,0.3642742885784748,180.0,20.92378046926777,0.0
 10.301025415099016,5.532007605767115,6.697099774811609,-2.333450079753819,1.0,0.0,0.3650060438180446,180.0,20.965644919865817,0.0
 10.308061920836417,5.539038991153902,6.696831386035809,-2.185925198986859,1.0,0.0,0.3656705853113264,180.0,21.003645878138368,0.0
 10.315063498601543,5.546036136381468,6.696582287931744,-2.0388665390199194,1.0,0.0,0.3662661065720483,180.0,21.037679684163145,0.0
 10.322030435491772,5.552999273947429,6.696352233872996,-1.8922983523434884,1.0,0.0,0.3667907875342636,180.0,21.067641890781744,0.0
